,אזור המכירה:,בעלות נוכחית,בעלות קודמת,זיהום מירבי,טסט עד,יד,מוכן להחלפה,מותאם לנכים,סוג,סוג מנוע,סמ״ק,צבע,קילומטראז',שנה,תאריך עליה לכביש,תיבת הילוכים,שם הסוכנות:,מחיר
2409,תל אביב יפו,פרטית,פרטית,9,07/2022,2,לא,לא,שברולט ספארק,בנזין,1206,לבן,"170,000",2013,08/2013,ידנית,,"14,500 ₪"
2410,ירושלים,פרטית,פרטית,15,03/2022,2,לא,לא,מאזדה 6,בנזין,1999,אפור מטאלי,"168,880",2008,03/2008,אוטומט,,"27,500 ₪"
2411,כפר סבא,פרטית,פרטית,14,01/2023,3,לא,לא,ניסאן ג'וק / Juke,בנזין,1598,כחול כהה מטאלי,"99,000",2011,01/2011,אוטומט,,"36,000 ₪"
2412,שדרות,פרטית,פרטית,9,09/2022,2,לא,לא,יונדאי i10,בנזין,998,שחור,"70,000",2017,09/2017,אוטומט,,"44,000 ₪"
2413,קרית אתא,פרטית,,1,,1,לא,לא,מרצדס A-Class,היברידי חשמל / בנזין,1332,שחור מטאלי,"16,000",2021,02/2021,אוטומט,,"285,000 ₪"
2414,יפיע,פרטית,פרטית,15,06/2022,3,לא,לא,ביואיק לה קרוס,בנזין,3564,כסוף מטאלי,"212,000",2012,06/2012,אוטומט,,"60,000 ₪"
2415,ירושלים,פרטית,פרטית,14,07/2023,2,לא,לא,סקודה קודיאק,בנזין,1395,כסוף מטאלי,"91,000",2017,07/2017,אוטומט,,"139,000 ₪"
2416,ירושלים,פרטית,פרטית,15,03/2022,5,לא,לא,ב.מ.וו סדרה 3,בנזין,2497,כחול כהה מטאלי,"127,000",2006,,אוטומט,,"39,000 ₪"
2417,אשדוד,פרטית,פרטית,14,05/2022,2,לא,לא,סקודה קודיאק,בנזין,1395,אפור מטאלי,"62,000",2018,05/2018,אוטומט,,"148,000 ₪"
2418,דימונה,פרטית,,4,,1,לא,לא,שברולט ספארק,בנזין,1399,שחור מטאלי,"24,000",2020,03/2020,אוטומט,,לא צוין מחיר
2419,אשדוד,פרטית,ליסינג,15,02/2022,3,לא,כן,טויוטה קורולה,בנזין,1598,אפור מטאלי,"249,000",2009,,אוטומט,,"25,500 ₪"
2420,ירושלים,פרטית,פרטית,15,06/2022,5,לא,לא,יונדאי אקסנט (עד 2012),בנזין,1399,כסוף,"172,000",2008,06/2008,אוטומט,,"10,500 ₪"
2421,ראשון לציון,פרטית,פרטית,15,07/2022,2,לא,לא,סיטרואן C4 פיקאסו,בנזין,1598,פלטינה,"165,000",2013,07/2013,אוטומט,D&D cars,"17,900 ₪"
2422,באר שבע,פרטית,פרטית,9,05/2022,2,לא,לא,מרצדס C-Class Taxi,דיזל,1950,לבן,"190,000",2019,05/2019,אוטומט,,"170,000 ₪"
2423,חיפה,פרטית,ליסינג,9,04/2022,2,לא,לא,אאודי A4,בנזין,1984,לבן,"15,900",2019,03/2019,אוטומט,,"184,900 ₪"
2424,נתניה,פרטית,פרטית,15,09/2022,4,כן,לא,וולוו S40,בנזין,2521,כסוף,"111,000",2012,09/2012,אוטומט,,"35,770 ₪"
2425,נתניה,ליסינג,,8,04/2022,1,כן,לא,סקודה ראפיד,בנזין,999,כסוף,"82,000",2018,04/2018,אוטומט,,"58,770 ₪"
2426,רמת גן,פרטית,פרטית,4,01/2022,5,לא,לא,דייהטסו סיריון,בנזין,1298,לבן,"250,000",2006,,אוטומט,,"8,190 ₪"
2427,תל אביב יפו,פרטית,השכרה,7,10/2022,2,כן,לא,ניסאן מיקרה,בנזין,1198,לבן שנהב,"45,000",2018,10/2018,אוטומט,אבי פוזנרסון,"44,900 ₪"
2428,יהוד מונוסון,פרטית,,14,08/2022,1,כן,לא,סקודה קודיאק,בנזין,1395,אפור מטאלי,"118,000",2017,08/2017,אוטומט,A.D MOTORS,"124,000 ₪"
2429,נתניה,פרטית,,2,11/2022,1,לא,לא,יונדאי איוניק,בנזין,1580,כסוף מטאלי,"68,000",2018,11/2018,אוטומט,.,"91,500 ₪"
2430,כפר סבא,פרטית,השכרה,4,03/2022,2,לא,לא,סוזוקי בלנו,בנזין,1242,לבן פנינה,"132,000",2018,03/2018,אוטומט,גלי ליסינג מכירת רכב,"60,000 ₪"
2431,באר שבע,פרטית,פרטית,15,11/2022,2,כן,לא,שברולט קפטיבה,בנזין,2384,שחור,"180,000",2013,11/2013,אוטומט,רמי קריספין,"33,000 ₪"
2432,תל אביב יפו,פרטית,,15,06/2022,1,כן,לא,שברולט קפטיבה,בנזין,2384,בז',"140,000",2012,06/2012,אוטומט,אוטו חי - יוסי חזן בעמ,"39,500 ₪"
2433,כפר סבא,פרטית,ליסינג,6,12/2021,3,לא,לא,פיג'ו 107,בנזין,998,צהוב,"139,000",2011,12/2011,אוטומט,גלי ליסינג מכירת רכב,"14,000 ₪"
2434,ראשון לציון,פרטית,,2,04/2022,0,כן,לא,טויוטה C-HR,בנזין,1798,כחול כהה מטאלי,,2020,04/2020,אוטומט,גאלופ מוטורס,לא צוין מחיר
2435,כפר סבא,פרטית,ליסינג,12,11/2022,2,לא,לא,דאצ'יה דאסטר,דיזל,1461,אפור מטאלי,"220,000",2017,11/2017,אוטומט,גלי ליסינג מכירת רכב,"60,000 ₪"
2436,מודיעין מכבים רעות,פרטית,פרטית,15,05/2022,6,כן,לא,אאודי Q5,בנזין,1984,אפור,"131,000",2009,05/2009,אוטומט,סולי קאר,"44,800 ₪"
2437,תל אביב יפו,פרטית,חברה,2,06/2022,2,לא,לא,מרצדס E-Class,היברידי חשמל / בנזין,1991,כסוף,"63,000",2019,06/2019,אוטומט,דלק מוטורס בעמ,"299,000 ₪"
2438,פתח תקווה,פרטית,,1,,1,כן,לא,יגואר I-Pace,חשמלי,,שחור מטאלי,1,2021,04/2021,אוטומט,"חברת המזרח לשיווק מכוניות (1994) בע""מ","489,000 ₪"
2439,ראשון לציון,פרטית,פרטית,4,10/2022,2,כן,לא,סיטרואן C1,בנזין,998,לבן,"122,000",2017,10/2017,רובוטית,אדיר סרור,"27,000 ₪"
2440,חולון,פרטית,,NaN,01/2023,0,כן,לא,טויוטה סיינה הייבריד,בנזין,2487,אפור מטאלי,,2021,08/2021,אוטומט,טרייד אין חולון,"338,000 ₪"
2441,חולון,פרטית,פרטית,9,01/2022,2,לא,לא,סוזוקי אלטו,בנזין,996,כסוף מטאלי,"130,000",2010,01/2010,ידנית,טרייד אין חולון,"13,800 ₪"
2442,אשדוד,פרטית,,2,,0,כן,לא,מרצדס GLE קופה,היברידי חשמל / בנזין,1991,שחור מטאלי,,2021,12/2021,אוטומט,Avishay.lagziel- auto mobil,לא צוין מחיר
2443,כפר סבא,פרטית,פרטית,15,05/2022,2,לא,לא,שברולט טראקס,בנזין,1364,כסוף מטאלי,"133,000",2014,05/2014,אוטומט,גלי ליסינג מכירת רכב,"45,000 ₪"
2444,תל אביב יפו,חברה,,1,09/2022,1,לא,לא,ב.מ.וו סדרה 5,היברידי חשמל / בנזין,1998,לבן,15,2021,09/2021,אוטומט,דלק מוטורס בעמ,"469,000 ₪"
2445,ירושלים,פרטית,פרטית,14,07/2023,2,לא,לא,סקודה קודיאק,בנזין,1395,כסוף מטאלי,"91,000",2017,07/2017,אוטומט,,"139,000 ₪"
2446,ירושלים,פרטית,פרטית,15,03/2022,5,לא,לא,ב.מ.וו סדרה 3,בנזין,2497,כחול כהה מטאלי,"127,000",2006,,אוטומט,,"39,000 ₪"
2447,אשדוד,פרטית,פרטית,14,05/2022,2,לא,לא,סקודה קודיאק,בנזין,1395,אפור מטאלי,"62,000",2018,05/2018,אוטומט,,"148,000 ₪"
2448,דימונה,פרטית,,4,,1,לא,לא,שברולט ספארק,בנזין,1399,שחור מטאלי,"24,000",2020,03/2020,אוטומט,,לא צוין מחיר
2449,אשדוד,פרטית,ליסינג,15,02/2022,3,לא,כן,טויוטה קורולה,בנזין,1598,אפור מטאלי,"249,000",2009,,אוטומט,,"25,500 ₪"
2450,ירושלים,פרטית,פרטית,15,06/2022,5,לא,לא,יונדאי אקסנט (עד 2012),בנזין,1399,כסוף,"172,000",2008,06/2008,אוטומט,,"10,500 ₪"
2451,באר שבע,פרטית,פרטית,9,05/2022,2,לא,לא,מרצדס C-Class Taxi,דיזל,1950,לבן,"190,000",2019,05/2019,אוטומט,,"170,000 ₪"
2452,חיפה,פרטית,ליסינג,9,04/2022,2,לא,לא,אאודי A4,בנזין,1984,לבן,"15,900",2019,03/2019,אוטומט,,"184,900 ₪"
2453,נתניה,פרטית,פרטית,15,09/2022,4,כן,לא,וולוו S40,בנזין,2521,כסוף,"111,000",2012,09/2012,אוטומט,,"35,770 ₪"
2454,נתניה,ליסינג,,8,04/2022,1,כן,לא,סקודה ראפיד,בנזין,999,כסוף,"82,000",2018,04/2018,אוטומט,,"58,770 ₪"
2455,רמת גן,פרטית,פרטית,4,01/2022,5,לא,לא,דייהטסו סיריון,בנזין,1298,לבן,"250,000",2006,,אוטומט,,"8,190 ₪"
2456,ביתר עילית,פרטית,פרטית,NaN,06/2022,3,לא,לא,מאזדה MPV,בנזין,2967,כסוף מטאלי,"270,000",2005,,אוטומט,,"13,900 ₪"
2457,מעלה אדומים,פרטית,פרטית,15,05/2022,5,לא,לא,סקודה פאביה,בנזין,1598,שחור מטאלי,"245,000",2008,05/2008,אוטומט,,"14,900 ₪"
2458,ראשון לציון,ליסינג,,8,08/2022,1,לא,לא,פיג'ו 301,בנזין,1199,כסוף,"145,000",2015,08/2015,רובוטית,D&D cars,"15,900 ₪"
2459,בני ברק,פרטית,פרטית,NaN,04/2022,3,לא,לא,שברולט קוואליר,בנזין,2198,כסוף מטאלי,"115,000",2003,,אוטומט,,"8,500 ₪"
2460,קדימה צורן,פרטית,,4,01/2022,1,לא,לא,טויוטה קאמרי,בנזין,2494,לבן,"65,000",2017,01/2017,אוטומט,,"120,000 ₪"
2461,אריאל,פרטית,ליסינג,14,12/2022,2,לא,לא,אופל אסטרה,בנזין,1399,שחור,"98,000",2016,10/2016,אוטומט,,"35,000 ₪"
2462,נהריה,פרטית,פרטית,15,03/2022,3,לא,לא,מאזדה 3,בנזין,1999,אפור מטאלי,"147,000",2006,,אוטומט,,"22,000 ₪"
2463,חדרה,פרטית,פרטית,15,04/2022,2,לא,לא,אאודי A6,בנזין,1984,חום מטאלי,"155,000",2012,04/2012,אוטומט,,"85,000 ₪"
2464,כפר סבא,פרטית,ליסינג,10,03/2022,3,כן,לא,פיג'ו 308,בנזין,1199,אפור,"165,000",2016,04/2016,אוטומט,גלי ליסינג מכירת רכב,"30,000 ₪"
2465,נשר,פרטית,,15,08/2022,1,לא,לא,ב.מ.וו X3,בנזין,1998,שחור מטאלי,"55,000",2019,08/2019,אוטומט,שיא סוכנויות רכב,"299,000 ₪"
2466,תל אביב יפו,פרטית,השכרה,7,10/2022,2,כן,לא,ניסאן מיקרה,בנזין,1198,לבן שנהב,"45,000",2018,10/2018,אוטומט,אבי פוזנרסון,"44,900 ₪"
2467,יהוד מונוסון,פרטית,,14,08/2022,1,כן,לא,סקודה קודיאק,בנזין,1395,אפור מטאלי,"118,000",2017,08/2017,אוטומט,A.D MOTORS,"124,000 ₪"
2468,נתניה,פרטית,,2,11/2022,1,לא,לא,יונדאי איוניק,בנזין,1580,כסוף מטאלי,"68,000",2018,11/2018,אוטומט,.,"91,500 ₪"
2469,כפר סבא,פרטית,השכרה,4,03/2022,2,לא,לא,סוזוקי בלנו,בנזין,1242,לבן פנינה,"132,000",2018,03/2018,אוטומט,גלי ליסינג מכירת רכב,"60,000 ₪"
2470,באר שבע,פרטית,פרטית,15,11/2022,2,כן,לא,שברולט קפטיבה,בנזין,2384,שחור,"180,000",2013,11/2013,אוטומט,רמי קריספין,"33,000 ₪"
2471,תל אביב יפו,פרטית,,15,06/2022,1,כן,לא,שברולט קפטיבה,בנזין,2384,בז',"140,000",2012,06/2012,אוטומט,אוטו חי - יוסי חזן בעמ,"39,500 ₪"
2472,כפר סבא,פרטית,ליסינג,6,12/2021,3,לא,לא,פיג'ו 107,בנזין,998,צהוב,"139,000",2011,12/2011,אוטומט,גלי ליסינג מכירת רכב,"14,000 ₪"
2473,ראשון לציון,פרטית,,2,04/2022,0,כן,לא,טויוטה C-HR,בנזין,1798,כחול כהה מטאלי,,2020,04/2020,אוטומט,גאלופ מוטורס,לא צוין מחיר
2474,כפר סבא,פרטית,ליסינג,12,11/2022,2,לא,לא,דאצ'יה דאסטר,דיזל,1461,אפור מטאלי,"220,000",2017,11/2017,אוטומט,גלי ליסינג מכירת רכב,"60,000 ₪"
2475,מודיעין מכבים רעות,פרטית,פרטית,15,05/2022,6,כן,לא,אאודי Q5,בנזין,1984,אפור,"131,000",2009,05/2009,אוטומט,סולי קאר,"44,800 ₪"
2476,תל אביב יפו,פרטית,חברה,2,06/2022,2,לא,לא,מרצדס E-Class,היברידי חשמל / בנזין,1991,כסוף,"63,000",2019,06/2019,אוטומט,דלק מוטורס בעמ,"299,000 ₪"
2477,פתח תקווה,פרטית,,1,,1,כן,לא,יגואר I-Pace,חשמלי,,שחור מטאלי,1,2021,04/2021,אוטומט,"חברת המזרח לשיווק מכוניות (1994) בע""מ","489,000 ₪"
2478,ראשון לציון,פרטית,פרטית,4,10/2022,2,כן,לא,סיטרואן C1,בנזין,998,לבן,"122,000",2017,10/2017,רובוטית,אדיר סרור,"27,000 ₪"
2479,חולון,פרטית,,NaN,01/2023,0,כן,לא,טויוטה סיינה הייבריד,בנזין,2487,אפור מטאלי,,2021,08/2021,אוטומט,טרייד אין חולון,"338,000 ₪"
2480,חולון,פרטית,פרטית,9,01/2022,2,לא,לא,סוזוקי אלטו,בנזין,996,כסוף מטאלי,"130,000",2010,01/2010,ידנית,טרייד אין חולון,"13,800 ₪"
2481,אשדוד,פרטית,,2,,0,כן,לא,מרצדס GLE קופה,היברידי חשמל / בנזין,1991,שחור מטאלי,,2021,12/2021,אוטומט,Avishay.lagziel- auto mobil,לא צוין מחיר
2482,יפיע,פרטית,פרטית,15,06/2022,3,לא,לא,ביואיק לה קרוס,בנזין,3564,כסוף מטאלי,"212,000",2012,06/2012,אוטומט,,"60,000 ₪"
2483,ירושלים,פרטית,פרטית,14,07/2023,2,לא,לא,סקודה קודיאק,בנזין,1395,כסוף מטאלי,"91,000",2017,07/2017,אוטומט,,"139,000 ₪"
2484,ירושלים,פרטית,פרטית,15,03/2022,5,לא,לא,ב.מ.וו סדרה 3,בנזין,2497,כחול כהה מטאלי,"127,000",2006,,אוטומט,,"39,000 ₪"
2485,אשדוד,פרטית,פרטית,14,05/2022,2,לא,לא,סקודה קודיאק,בנזין,1395,אפור מטאלי,"62,000",2018,05/2018,אוטומט,,"148,000 ₪"
2486,דימונה,פרטית,,4,,1,לא,לא,שברולט ספארק,בנזין,1399,שחור מטאלי,"24,000",2020,03/2020,אוטומט,,לא צוין מחיר
2487,אשדוד,פרטית,ליסינג,15,02/2022,3,לא,כן,טויוטה קורולה,בנזין,1598,אפור מטאלי,"249,000",2009,,אוטומט,,"25,500 ₪"
2488,ירושלים,פרטית,פרטית,15,06/2022,5,לא,לא,יונדאי אקסנט (עד 2012),בנזין,1399,כסוף,"172,000",2008,06/2008,אוטומט,,"10,500 ₪"
2489,באר שבע,פרטית,פרטית,9,05/2022,2,לא,לא,מרצדס C-Class Taxi,דיזל,1950,לבן,"190,000",2019,05/2019,אוטומט,,"170,000 ₪"
2490,חיפה,פרטית,ליסינג,9,04/2022,2,לא,לא,אאודי A4,בנזין,1984,לבן,"15,900",2019,03/2019,אוטומט,,"184,900 ₪"
2491,נתניה,פרטית,פרטית,15,09/2022,4,כן,לא,וולוו S40,בנזין,2521,כסוף,"111,000",2012,09/2012,אוטומט,,"35,770 ₪"
2492,נתניה,ליסינג,,8,04/2022,1,כן,לא,סקודה ראפיד,בנזין,999,כסוף,"82,000",2018,04/2018,אוטומט,,"58,770 ₪"
2493,רמת גן,פרטית,פרטית,4,01/2022,5,לא,לא,דייהטסו סיריון,בנזין,1298,לבן,"250,000",2006,,אוטומט,,"8,190 ₪"
2494,ביתר עילית,פרטית,פרטית,NaN,06/2022,3,לא,לא,מאזדה MPV,בנזין,2967,כסוף מטאלי,"270,000",2005,,אוטומט,,"13,900 ₪"
2495,משמר השרון,ייבוא מקביל,,1,,0,כן,לא,סיאט לאון,היברידי חשמל / בנזין,1395,לבן פנינה,,2021,,אוטומט,גזפרו בעמ,1595 ₪ לחודש
2496,מעלה אדומים,פרטית,פרטית,15,05/2022,5,לא,לא,סקודה פאביה,בנזין,1598,שחור מטאלי,"245,000",2008,05/2008,אוטומט,,"14,900 ₪"
2497,בני ברק,פרטית,פרטית,NaN,04/2022,3,לא,לא,שברולט קוואליר,בנזין,2198,כסוף מטאלי,"115,000",2003,,אוטומט,,"8,500 ₪"
2498,קדימה צורן,פרטית,,4,01/2022,1,לא,לא,טויוטה קאמרי,בנזין,2494,לבן,"65,000",2017,01/2017,אוטומט,,"120,000 ₪"
2499,אריאל,פרטית,ליסינג,14,12/2022,2,לא,לא,אופל אסטרה,בנזין,1399,שחור,"98,000",2016,10/2016,אוטומט,,"35,000 ₪"
2500,נהריה,פרטית,פרטית,15,03/2022,3,לא,לא,מאזדה 3,בנזין,1999,אפור מטאלי,"147,000",2006,,אוטומט,,"22,000 ₪"
2501,אבן יהודה,פרטית,,15,08/2023,1,לא,לא,קיה ספורטז',בנזין,1591,שחור מטאלי,"150,000",2016,08/2016,אוטומט,אוטו מרקט,לא צוין מחיר
2502,כפר סבא,פרטית,ליסינג,10,03/2022,3,כן,לא,פיג'ו 308,בנזין,1199,אפור,"165,000",2016,04/2016,אוטומט,גלי ליסינג מכירת רכב,"30,000 ₪"
2503,נשר,פרטית,,15,08/2022,1,לא,לא,ב.מ.וו X3,בנזין,1998,שחור מטאלי,"55,000",2019,08/2019,אוטומט,שיא סוכנויות רכב,"299,000 ₪"
2504,תל אביב יפו,פרטית,השכרה,7,10/2022,2,כן,לא,ניסאן מיקרה,בנזין,1198,לבן שנהב,"45,000",2018,10/2018,אוטומט,אבי פוזנרסון,"44,900 ₪"
2505,יהוד מונוסון,פרטית,,14,08/2022,1,כן,לא,סקודה קודיאק,בנזין,1395,אפור מטאלי,"118,000",2017,08/2017,אוטומט,A.D MOTORS,"124,000 ₪"
2506,נתניה,פרטית,,2,11/2022,1,לא,לא,יונדאי איוניק,בנזין,1580,כסוף מטאלי,"68,000",2018,11/2018,אוטומט,.,"91,500 ₪"
2507,כפר סבא,פרטית,השכרה,4,03/2022,2,לא,לא,סוזוקי בלנו,בנזין,1242,לבן פנינה,"132,000",2018,03/2018,אוטומט,גלי ליסינג מכירת רכב,"60,000 ₪"
2508,באר שבע,פרטית,פרטית,15,11/2022,2,כן,לא,שברולט קפטיבה,בנזין,2384,שחור,"180,000",2013,11/2013,אוטומט,רמי קריספין,"33,000 ₪"
2509,תל אביב יפו,פרטית,,15,06/2022,1,כן,לא,שברולט קפטיבה,בנזין,2384,בז',"140,000",2012,06/2012,אוטומט,אוטו חי - יוסי חזן בעמ,"39,500 ₪"
2510,כפר סבא,פרטית,ליסינג,6,12/2021,3,לא,לא,פיג'ו 107,בנזין,998,צהוב,"139,000",2011,12/2011,אוטומט,גלי ליסינג מכירת רכב,"14,000 ₪"
2511,ראשון לציון,פרטית,,2,04/2022,0,כן,לא,טויוטה C-HR,בנזין,1798,כחול כהה מטאלי,,2020,04/2020,אוטומט,גאלופ מוטורס,לא צוין מחיר
2512,כפר סבא,פרטית,ליסינג,12,11/2022,2,לא,לא,דאצ'יה דאסטר,דיזל,1461,אפור מטאלי,"220,000",2017,11/2017,אוטומט,גלי ליסינג מכירת רכב,"60,000 ₪"
2513,מודיעין מכבים רעות,פרטית,פרטית,15,05/2022,6,כן,לא,אאודי Q5,בנזין,1984,אפור,"131,000",2009,05/2009,אוטומט,סולי קאר,"44,800 ₪"
2514,תל אביב יפו,פרטית,חברה,2,06/2022,2,לא,לא,מרצדס E-Class,היברידי חשמל / בנזין,1991,כסוף,"63,000",2019,06/2019,אוטומט,דלק מוטורס בעמ,"299,000 ₪"
2515,פתח תקווה,פרטית,,1,,1,כן,לא,יגואר I-Pace,חשמלי,,שחור מטאלי,1,2021,04/2021,אוטומט,"חברת המזרח לשיווק מכוניות (1994) בע""מ","489,000 ₪"
2516,ראשון לציון,פרטית,פרטית,4,10/2022,2,כן,לא,סיטרואן C1,בנזין,998,לבן,"122,000",2017,10/2017,רובוטית,אדיר סרור,"27,000 ₪"
2517,חולון,פרטית,,NaN,01/2023,0,כן,לא,טויוטה סיינה הייבריד,בנזין,2487,אפור מטאלי,,2021,08/2021,אוטומט,טרייד אין חולון,"338,000 ₪"
2518,חולון,פרטית,פרטית,9,01/2022,2,לא,לא,סוזוקי אלטו,בנזין,996,כסוף מטאלי,"130,000",2010,01/2010,ידנית,טרייד אין חולון,"13,800 ₪"
2519,ירושלים,פרטית,פרטית,15,06/2022,5,לא,לא,יונדאי אקסנט (עד 2012),בנזין,1399,כסוף,"172,000",2008,06/2008,אוטומט,,"10,500 ₪"
2520,באר שבע,פרטית,פרטית,9,05/2022,2,לא,לא,מרצדס C-Class Taxi,דיזל,1950,לבן,"190,000",2019,05/2019,אוטומט,,"170,000 ₪"
2521,חיפה,פרטית,ליסינג,9,04/2022,2,לא,לא,אאודי A4,בנזין,1984,לבן,"15,900",2019,03/2019,אוטומט,,"184,900 ₪"
2522,נתניה,פרטית,פרטית,15,09/2022,4,כן,לא,וולוו S40,בנזין,2521,כסוף,"111,000",2012,09/2012,אוטומט,,"35,770 ₪"
2523,נתניה,ליסינג,,8,04/2022,1,כן,לא,סקודה ראפיד,בנזין,999,כסוף,"82,000",2018,04/2018,אוטומט,,"58,770 ₪"
2524,רמת גן,פרטית,פרטית,4,01/2022,5,לא,לא,דייהטסו סיריון,בנזין,1298,לבן,"250,000",2006,,אוטומט,,"8,190 ₪"
2525,ביתר עילית,פרטית,פרטית,NaN,06/2022,3,לא,לא,מאזדה MPV,בנזין,2967,כסוף מטאלי,"270,000",2005,,אוטומט,,"13,900 ₪"
2526,מעלה אדומים,פרטית,פרטית,15,05/2022,5,לא,לא,סקודה פאביה,בנזין,1598,שחור מטאלי,"245,000",2008,05/2008,אוטומט,,"14,900 ₪"
2527,בני ברק,פרטית,פרטית,NaN,04/2022,3,לא,לא,שברולט קוואליר,בנזין,2198,כסוף מטאלי,"115,000",2003,,אוטומט,,"8,500 ₪"
2528,קדימה צורן,פרטית,,4,01/2022,1,לא,לא,טויוטה קאמרי,בנזין,2494,לבן,"65,000",2017,01/2017,אוטומט,,"120,000 ₪"
2529,אריאל,פרטית,ליסינג,14,12/2022,2,לא,לא,אופל אסטרה,בנזין,1399,שחור,"98,000",2016,10/2016,אוטומט,,"35,000 ₪"
2530,נהריה,פרטית,פרטית,15,03/2022,3,לא,לא,מאזדה 3,בנזין,1999,אפור מטאלי,"147,000",2006,,אוטומט,,"22,000 ₪"
2531,חדרה,פרטית,פרטית,15,04/2022,2,לא,לא,אאודי A6,בנזין,1984,חום מטאלי,"155,000",2012,04/2012,אוטומט,,"85,000 ₪"
2532,נתניה,פרטית,פרטית,13,11/2022,2,לא,לא,פורד פיאסטה,בנזין,1388,כסוף מטאלי,"148,000",2012,11/2012,אוטומט,רומי,לא צוין מחיר
2533,פתח תקווה,פרטית,פרטית,3,,2,לא,לא,לקסוס ES300H,בנזין,2487,לבן מטאלי,"25,000",2020,05/2020,אוטומט,,"279,000 ₪"
2534,אשדוד,פרטית,פרטית,12,02/2022,2,לא,לא,ב.מ.וו סדרה 2,בנזין,1499,לבן,"40,000",2019,01/2019,אוטומט,,"175,000 ₪"
2535,אור יהודה,פרטית,,15,01/2022,1,לא,לא,הונדה אקורד,בנזין,2354,תכלת מטאלי,"208,000",2005,,אוטומט,,"33,000 ₪"
2536,רמלה,פרטית,פרטית,13,09/2022,4,לא,לא,אאודי A3,בנזין,1798,לבן,"130,000",2015,09/2015,אוטומט,,"90,000 ₪"
2537,תל אביב יפו,פרטית,פרטית,13,06/2022,2,לא,לא,פולקסווגן פולו GTI,בנזין,1798,שחור מטאלי,"55,000",2016,05/2016,אוטומט,,"110,000 ₪"
2538,קרית שמונה,פרטית,,14,,1,כן,לא,סקודה קודיאק,בנזין,1984,כחול,"119,000",2017,11/2017,אוטומט,דורון מוטורס,לא צוין מחיר
2539,נתניה,פרטית,,2,08/2022,0,לא,כן,ב.מ.וו X1,היברידי חשמל / בנזין,1499,לבן פנינה,,2021,08/2021,אוטומט,שיא סוכנויות רכב,2420 ₪ לחודש
2540,אבן יהודה,פרטית,,15,08/2023,1,לא,לא,קיה ספורטז',בנזין,1591,שחור מטאלי,"150,000",2016,08/2016,אוטומט,אוטו מרקט,לא צוין מחיר
2541,ראשון לציון,פרטית,,15,12/2024,0,כן,לא,פורד מוסטנג,בנזין,2261,לבן,,2021,12/2021,אוטומט,גאלופ מוטורס,"279,000 ₪"
2542,כפר סבא,פרטית,ליסינג,10,03/2022,3,כן,לא,פיג'ו 308,בנזין,1199,אפור,"165,000",2016,04/2016,אוטומט,גלי ליסינג מכירת רכב,"30,000 ₪"
2543,נשר,פרטית,,15,08/2022,1,לא,לא,ב.מ.וו X3,בנזין,1998,שחור מטאלי,"55,000",2019,08/2019,אוטומט,שיא סוכנויות רכב,"299,000 ₪"
2544,תל אביב יפו,פרטית,השכרה,7,10/2022,2,כן,לא,ניסאן מיקרה,בנזין,1198,לבן שנהב,"45,000",2018,10/2018,אוטומט,אבי פוזנרסון,"44,900 ₪"
2545,יהוד מונוסון,פרטית,,14,08/2022,1,כן,לא,סקודה קודיאק,בנזין,1395,אפור מטאלי,"118,000",2017,08/2017,אוטומט,A.D MOTORS,"124,000 ₪"
2546,נתניה,פרטית,,2,11/2022,1,לא,לא,יונדאי איוניק,בנזין,1580,כסוף מטאלי,"68,000",2018,11/2018,אוטומט,.,"91,500 ₪"
2547,כפר סבא,פרטית,השכרה,4,03/2022,2,לא,לא,סוזוקי בלנו,בנזין,1242,לבן פנינה,"132,000",2018,03/2018,אוטומט,גלי ליסינג מכירת רכב,"60,000 ₪"
2548,באר שבע,פרטית,פרטית,15,11/2022,2,כן,לא,שברולט קפטיבה,בנזין,2384,שחור,"180,000",2013,11/2013,אוטומט,רמי קריספין,"33,000 ₪"
2549,תל אביב יפו,פרטית,,15,06/2022,1,כן,לא,שברולט קפטיבה,בנזין,2384,בז',"140,000",2012,06/2012,אוטומט,אוטו חי - יוסי חזן בעמ,"39,500 ₪"
2550,כפר סבא,פרטית,ליסינג,6,12/2021,3,לא,לא,פיג'ו 107,בנזין,998,צהוב,"139,000",2011,12/2011,אוטומט,גלי ליסינג מכירת רכב,"14,000 ₪"
2551,ראשון לציון,פרטית,,2,04/2022,0,כן,לא,טויוטה C-HR,בנזין,1798,כחול כהה מטאלי,,2020,04/2020,אוטומט,גאלופ מוטורס,לא צוין מחיר
2552,כפר סבא,פרטית,ליסינג,12,11/2022,2,לא,לא,דאצ'יה דאסטר,דיזל,1461,אפור מטאלי,"220,000",2017,11/2017,אוטומט,גלי ליסינג מכירת רכב,"60,000 ₪"
2553,מודיעין מכבים רעות,פרטית,פרטית,15,05/2022,6,כן,לא,אאודי Q5,בנזין,1984,אפור,"131,000",2009,05/2009,אוטומט,סולי קאר,"44,800 ₪"
2554,תל אביב יפו,פרטית,חברה,2,06/2022,2,לא,לא,מרצדס E-Class,היברידי חשמל / בנזין,1991,כסוף,"63,000",2019,06/2019,אוטומט,דלק מוטורס בעמ,"299,000 ₪"
